region,altitude,surface,parcelle_active,plante_reference,climat,typo_pays_principale,typo_pays_secondaire,bassin_prod_principal,bassin_prod_secondaire,topographie,plan_eau,exposition,orientation_vent,enclave,corridor,drain,biogeoregions,seqnum,hex_area,CLC,CHELSA_tas,CHELSA_spi12
ILE-DE-FRANCE,74,11.44,1,Ble,Semi-oceanique,Paysage mixte,Open field,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Sud-Ouest,0,0,0,,1072240,95977942.3165401,21,7.17957746912036,-272.17515067377
CENTRE-VAL DE LOIRE,94,1.32,1,Salade,Semi-oceanique,Open field,"Batis, milieu rural",Zone horticole,Zone horticole,Plaine,0,Plein soleil,Sud-Ouest,0,1,0,,1070040,95977942.1806726,1,7.83035584858486,-272.694407871791
BRETAGNE,12,2.2,1,Salade,Oceanique,Paysage mixte,Information inconnue,Zone maraichere,Zone maraichere,Plateau,0,Plein soleil,Sud-Ouest,0,1,0,,638581,95977942.1785386,24,9.64999834696452,-273.524278913225
NOUVELLE-AQUITAINE,76,4.4,1,Vigne,Oceanique a semi oceanique sud,Paysage mixte,Information inconnue,Bassin viticole,Bassin viticole,Plateau,0,Plein soleil,Sud-Ouest,0,0,0,,1067091,95977941.9307727,1,9.22874507904053,-273.337559700012
PAYS DE LOIRE,83,14.24,1,Mais,Oceanique a semi-oceanique nord,Bocage a dominante polyculture elevage,Zone forestiere,Bassin arboricole,Bassin arboricole,Plaine,0,Plein soleil,Sud-Ouest,0,1,1,,638605,95977942.0472566,21,8.12305274552214,-273.26269494702
PAYS DE LOIRE,83,9.92,1,Mais,Oceanique a semi-oceanique nord,Bocage a dominante polyculture elevage,Zone forestiere,Bassin arboricole,Bassin arboricole,Plaine,1,Plein soleil,Sud-Ouest,0,1,0,,1063467,95976973.2644228,21,8.08494019508362,-273.230663437441
NOUVELLE-AQUITAINE,132,3.25,1,Mais,Oceanique a semi oceanique sud,Open field,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Sud-Ouest,0,0,0,,1066369,95977941.9687192,21,8.26172376562048,-273.533023410373
CENTRE-VAL DE LOIRE,138,27.57,1,Ble,Semi-continental sud,Open field,Open field,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Sud-Ouest,0,1,0,,1073678,95977942.1535499,21,8.17036242543915,-273.060924011984
ILE-DE-FRANCE,100,10,1,Ble,Semi-oceanique,Open field,Open field,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Sud-Ouest,0,0,0,,1071503,95977942.2361549,21,7.68891241164978,-272.405152646367
GRAND-EST,90,5,1,Mais,Semi-continental nord,Open field,Paysage mixte,Zone de polyculture-elevage,Zone de polyculture-elevage,Plaine,0,Plein soleil,Sud-Ouest,0,1,0,,1074443,95977942.5079827,21,6.47545008405426,-272.893492568879
